model,user_id,ils,genre_cov,rec_list
popularity,82270c65d7052ae2cc75791468f0ae64b5f716a6,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,632df6ce2fdf256d17dab37fdb8e5e898488b50a,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,eb342b16b291c4781272f35b33e88d7c0d80645f,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,4ef32acec1c5c906f22dd1e53b143559e91eea48,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,5dc4b6adecb86e7623dafbf0acef8e847d4dd2f0,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,f8bd29dbe4ca899c580e1d9d40764942a71e6f06,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,553364404a5a457fbaff2d843133e122c34ca4ce,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,886e40a3888059444972108547fd2c65af827fc6,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,230440b0dce5f5e44cb341bac8cd484635ef5ba3,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
popularity,7f9a87f95cacd3730878dccfe26793dc4ce1ab4e,,1,"SOBONKR12A58A7A7E0,SOAUWYT12A81C206F1,SOSXLTC12AF72A7F54,SOFRQTD12A81C233C0,SOAXGDH12A8C13F8A1,SOEGIYH12A6D4FC0E3,SONYKOW12AB01849C9,SOPUCYA12A8C13A694,SOUFTBI12AB0183F65,SOOFYTN12A6D4F9B35"
